export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
16696108972,Special Buy 1 get 1 freemir Wajan Teflon Sakura Series 20/18cm Mpasi Approve Anti Lengket Serhaguna,274000,880093,4,4,52,42910.76,20.5,4,3
43970529279,freemir Spatula Sutil Cantik Silikon Beige Alat Masak Anti Leleh Food Grade,44000,807227,28,27,80,39658.14,20.4,27,15
24638032641,Special free Kukus freemir Wajan Panci Set 7 Pcs  Induksi 26/20/20/16cm Granite Anti Lengket Premium,912800,781352,1,1,30,15627.04,50.0,1,1
26708229470,[OFFICIAL] freemir Wajan Panci Jumbo 30 CM Double Bottom dan Tutup Kaca Anti Lengket Granit,314900,773431,3,3,7,15468.62,50.0,3,2
24519923366,Special Buy 1 Get 1 freemir Wajan Teflon Beige Granite Series 20cm Granite Anti Lengket Serbaguna,324000,742020,3,3,25,10281.18,72.2,3,1
42469696700,[EXCLUSIVE] freemir Wajan Panci Presto Granite 24cm Tinggi 10 cm Anti Lengket Pemanasan Lebih Cepat,295000,731380,3,2,26,24191.8,30.2,2,2
51500243299,"Official freemir Panci Kukus Stainless 316 Premium dengan Tutup Kaca & Pegangan Kayu – Steamer MPASI, Panci Susu & Mie Rebus Serbaguna",294000,708371,3,3,6,14339.68,49.4,3,3
29208074671,Special freemir Wajan Panci Jumbo Black Series 30 cm Anti Lengket Serbaguna Bisa semua jenis masakan,304000,687302,3,3,30,18399.12,37.4,3,2
19190085273,Special freemir Deepfryer Set 304 Stainless Steel Anti Karat Multifungsi Bisa Goreng dan Rebus,194000,639660,4,4,32,25912.94,24.7,4,3
11236077843,OFFICIAL Ramadan freemir Panci Kukus 3 Susun Stainless 304 - Steamer SNI Medical Grade - Masak Nasi Matang 20 Menit Cocok untuk Sahur,184000,611753,3,3,266,47037.98,13.0,3,2
12799210794,[OFFICIAL MALL] freemir Set 7 Pcs Wajan Panci 26/20/20/16 Cm Anti Lengket Lapisan Granit Alat Masak Lengkap,704000,611177,1,1,15,61117.7,10.0,1,1
2886475486,"[OFFICIAL] freemir Parutan Serbaguna 6 in 1 Multifungsi | Parutan Sayur, Pengiris Bawang, Pemotong Kentang | Aman Anti Luka",124000,597397,6,6,37,27819.005,21.5,6,6
26905794195,[FLASH SALE] freemir Panci Kukus 2 Susun 24 cm Panci Stainless Steel 304 Panci Anti Karat Serbaguna,184000,585036,4,4,22,34817.04,16.8,4,3
25722078391,[OFFICIAL] freemir Deep Wood Series Wajan Panci 24cm Warna Hitam/Beige Kedalaman 10cm Anti Lengket,234000,579627,3,3,106,15523.34,37.3,3,2
43006257515,Special freemir Terbaru Panci Gemoy Kuping Stainless Steel 304 Food Grade Gagang Kayu Anti Karat 3in1 set,204000,548580,2,2,76,31880.64,17.2,2,1
